id,text,user_age,platform,toxicity_score,label
1,"You're so ugly, no one likes you!",15,Twitter,0.48,1
2,"You're such a loser, go away!",15,Facebook,0.33,1
3,You should just quit social media.,11,TikTok,0.96,1
4,"You're such a loser, go away!",14,Instagram,0.17,1
5,"Hey, how's your day going?",18,Facebook,0.28,0
6,Happy birthday! Hope you have a great day.,17,Facebook,0.17,0
7,"Hey, how's your day going?",16,Facebook,0.15,0
8,Nobody wants to be your friend.,12,Snapchat,0.63,1
9,"That was a fun game, well played!",10,Facebook,0.29,0
10,You should just quit social media.,15,Facebook,0.85,1
11,"That was a fun game, well played!",10,Snapchat,0.17,0
12,Let's meet up this weekend.,17,Snapchat,0.18,0
13,"That was a fun game, well played!",13,Snapchat,0.14,0
14,That's a cool picture!,10,Facebook,0.18,0
15,I love your new post!,11,Facebook,0.08,0
16,I can't believe how dumb you are.,15,Instagram,0.37,1
17,Let's meet up this weekend.,14,Snapchat,0.21,0
18,"Hey, how's your day going?",14,Facebook,0.1,0
19,I can't believe how dumb you are.,16,Facebook,0.18,1
20,"Nice post! Just kidding, it's terrible.",18,Facebook,0.86,1
21,Good luck on your exam tomorrow!,17,Twitter,0.1,0
22,"Hey, how's your day going?",13,Instagram,0.02,0
23,I can't believe how dumb you are.,15,Facebook,0.31,1
24,"That was a fun game, well played!",12,Facebook,0.15,0
25,That's a cool picture!,13,Snapchat,0.18,0
26,Good luck on your exam tomorrow!,15,Snapchat,0.26,0
27,"That was a fun game, well played!",15,Twitter,0.14,0
28,Let's meet up this weekend.,13,TikTok,0.22,0
29,Good luck on your exam tomorrow!,12,Twitter,0.11,0
30,Happy birthday! Hope you have a great day.,17,Facebook,0.04,0
31,"That was a fun game, well played!",16,Twitter,0.01,0
32,I love your new post!,18,TikTok,0.01,0
33,I love your new post!,18,TikTok,0.28,0
34,That's a cool picture!,15,Instagram,0.21,0
35,That's a cool picture!,18,TikTok,0.23,0
36,Let's meet up this weekend.,17,TikTok,0.29,0
37,That's a cool picture!,11,Facebook,0.04,0
38,Happy birthday! Hope you have a great day.,13,Snapchat,0.26,0
39,Good luck on your exam tomorrow!,11,Twitter,0.29,0
40,You should just quit social media.,18,Instagram,0.82,1
41,Good luck on your exam tomorrow!,17,Instagram,0.11,0
42,"You're such a loser, go away!",18,TikTok,0.79,1
43,"You're worthless, just disappear.",14,Instagram,0.11,1
44,"You're so ugly, no one likes you!",14,Instagram,0.33,1
45,"You're worthless, just disappear.",17,Twitter,0.86,1
46,Happy birthday! Hope you have a great day.,15,Snapchat,0.08,0
47,I love your new post!,10,Instagram,0.09,0
48,I can't believe how dumb you are.,13,Instagram,0.23,1
49,Let's meet up this weekend.,18,Twitter,0.17,0
50,"You're so ugly, no one likes you!",14,Facebook,0.16,1
51,Happy birthday! Hope you have a great day.,18,Instagram,0.13,0
52,"That was a fun game, well played!",14,Twitter,0.18,0
53,Good luck on your exam tomorrow!,15,Facebook,0.13,0
