id,text,user_age,platform,toxicity_score,label
1,"You're worthless, just disappear.",18,Twitter,0.52,1
2,I can't believe how dumb you are.,11,Facebook,0.78,1
3,"You're so ugly, no one likes you!",15,Twitter,0.96,1
4,"You're such a loser, go away!",11,TikTok,0.88,1
5,"That was a fun game, well played!",18,Twitter,0.16,0
6,"You're such a loser, go away!",11,Instagram,0.62,1
7,I love your new post!,16,Twitter,0.33,0
8,You should just quit social media.,16,TikTok,0.86,1
9,Nobody wants to be your friend.,11,Snapchat,0.7,1
10,Happy birthday! Hope you have a great day.,11,TikTok,0.14,0
11,I can't believe how dumb you are.,18,Twitter,0.63,1
12,Happy birthday! Hope you have a great day.,14,TikTok,0.29,0
13,"You're such a loser, go away!",14,Twitter,0.97,1
14,I love your new post!,11,Snapchat,0.14,0
15,You should just quit social media.,12,Facebook,0.76,1
16,Nobody wants to be your friend.,17,TikTok,0.99,1
17,Happy birthday! Hope you have a great day.,10,Twitter,0.27,0
18,"Hey, how's your day going?",11,TikTok,0.32,0
19,Happy birthday! Hope you have a great day.,17,Facebook,0.07,0
20,Happy birthday! Hope you have a great day.,15,Facebook,0.12,0
21,"That was a fun game, well played!",15,Facebook,0.39,0
22,Nobody wants to be your friend.,14,Facebook,0.82,1
23,"Hey, how's your day going?",12,Snapchat,0.06,0
24,Happy birthday! Hope you have a great day.,14,TikTok,0.25,0
25,You should just quit social media.,16,Facebook,0.71,1
26,You should just quit social media.,12,Twitter,0.79,1
27,Good luck on your exam tomorrow!,13,TikTok,0.38,0
28,Happy birthday! Hope you have a great day.,11,Facebook,0.06,0
29,"That was a fun game, well played!",10,Facebook,0.02,0
30,"Nice post! Just kidding, it's terrible.",18,Snapchat,0.9,1
31,That's a cool picture!,15,Facebook,0.12,0
32,You should just quit social media.,13,Instagram,0.91,1
33,Good luck on your exam tomorrow!,15,Twitter,0.2,0
34,Nobody wants to be your friend.,14,Facebook,0.95,1
35,I can't believe how dumb you are.,17,Snapchat,0.79,1
36,Happy birthday! Hope you have a great day.,12,TikTok,0.32,0
37,Let's meet up this weekend.,12,Instagram,0.31,0
38,Nobody wants to be your friend.,14,Twitter,0.6,1
39,"Hey, how's your day going?",15,Facebook,0.11,0
40,Nobody wants to be your friend.,14,TikTok,0.57,1
41,That's a cool picture!,17,Instagram,0.2,0
42,"You're so ugly, no one likes you!",14,Facebook,0.95,1
43,Nobody wants to be your friend.,11,Snapchat,0.7,1
44,That's a cool picture!,17,Twitter,0.33,0
45,Nobody wants to be your friend.,14,Facebook,0.74,1
46,That's a cool picture!,11,Twitter,0.28,0
47,I can't believe how dumb you are.,14,Facebook,0.74,1
48,"You're such a loser, go away!",13,Facebook,0.83,1
49,"Hey, how's your day going?",15,Facebook,0.16,0
50,Good luck on your exam tomorrow!,13,Snapchat,0.2,0
51,"Nice post! Just kidding, it's terrible.",15,Instagram,0.55,1
52,"You're worthless, just disappear.",10,TikTok,0.56,1
53,Good luck on your exam tomorrow!,16,Facebook,0.1,0
54,You should just quit social media.,10,Facebook,0.75,1
55,I love your new post!,17,Instagram,0.31,0
56,"You're such a loser, go away!",11,Snapchat,0.82,1
